"gene","lfc_hypotonic","padj_hypotonic","lfc_aa","padj_aa","lfc_hypoglycemic","padj_hypoglycemic"
"YIR023W",5.4505693253797,0.0107938365729593,5.55069893841097,0.000287425843673442,2.64785152872858,0.0228714312616229
"YJL094C",4.7839901801858,0.0461742983722731,3.44304408345315,0.0292444863594357,2.53361600930381,0.0382560777225963
"YJL113W",4.82134865294063,0.0430067659495281,6.57233405521787,4.27493658790721e-05,5.12381490891125,2.0573475647831e-05
"YJL139C",7.04138249169933,5.19139279739855e-05,4.60432868331289,0.0011193729676465,-2.26311099643032,0.0405332214726435
"YJL173C",4.33309767394119,0.0128929966039773,3.99801562367356,0.00126151050997852,3.47343486969141,0.000209797757798792
"YJL201W",7.41465103285021,0.000404227899997541,5.1536037190056,0.00168412154659602,3.66424004140346,0.00297391347435505
"YJR029W",2.51759575960702,0.0243557949015817,1.71102388216405,0.0251779415192746,2.02475860804164,0.000861226495910606
"YJR050W",5.50101643321329,0.0123545505931973,3.20751819418668,0.0359826732926937,-23.3202812314339,1.43041767817574e-102
"YJR108W",-6.34234746997453,0.018179858808597,3.64426543612186,0.0381103572828456,3.44804431356102,0.0111189081435873
"YJR140C",5.4554376982283,0.0164631222509422,3.4232735822072,0.0287770249435998,-6.87822373762893,6.60800641236275e-09
"YKL094W",3.5932845972923,0.0418749935790597,3.49394976269715,0.00328274970523614,4.02579488703846,4.69227468365116e-06
"YKR025W",5.726378883558,0.0013778832448444,2.77346187533045,0.0376987591436844,2.47907300198902,0.0166868684403576
"YKR027W",7.09177743394767,0.00114184100411783,4.77511428016175,0.00397238821178481,-21.8382875512999,8.81108580749001e-80
"YKR049C",4.63841670232059,0.00585531981413939,2.99481962266052,0.0130340576425906,2.13819449918849,0.0225910000277338
"YLL036C",5.89778977150454,0.0013767022936714,3.51811808559701,0.0109415470352814,-4.87781774191289,5.4031237814864e-06
"YLL055W",4.51029266888777,0.0341332594264433,5.54710888541343,0.000137718900341159,3.20342915860662,0.00339062189325855
"YLR008C",5.53544651279462,0.0107938365729593,3.13867459959075,0.0385605393446676,-6.39504257182905,3.45675328928104e-08
"YLR011W",5.3840657170101,0.0347789254360088,5.13031811309152,0.00322049329807104,4.21312031700469,0.00130583683389107
"YLR077W",10.2384824093333,1.65670476411257e-09,9.28867082678952,2.63954746833538e-10,7.02796567002681,1.71433140469891e-10
"YLR079W",4.66645635305584,0.0322085201631169,4.04682089227195,0.00615369225161383,2.98504868417179,0.00825319068124692
"YLR087C",5.88915788508098,0.00397820480671118,3.97676719246578,0.00742237048773809,3.06823645220056,0.00696562896988387
"YLR132C",4.60579516384222,0.0193784916881465,2.71444202933856,0.0439035669687633,-22.9394100872817,3.01356645462899e-124
"YLR138W",4.36375830860091,0.0147755909904425,2.80952293024064,0.0233412784638948,-2.10458879276441,0.0297519230462894
"YLR142W",5.34889325793186,0.0092324917227864,6.36374693060071,1.35318558113891e-05,7.31404867782405,4.73114221211521e-12
"YLR182W",4.067844113012,0.0476825786110076,3.6201241241087,0.00779868984642825,-5.67979641631299,4.83614443504083e-08
"YLR277C",5.87817468320423,0.00287119994823087,5.00710032542155,0.000663567352818768,3.60121247608122,0.00108550166502764
"YLR288C",11.430227754503,3.82780549912173e-12,7.67855333112083,3.23961803366325e-07,-13.9216955229732,1.01779200173909e-38
"YLR357W",4.54453617893214,0.0407057744647783,5.21672845582183,0.000539429127645265,3.51950689071269,0.00185499317064346
"YLR360W",4.57225257409874,0.0326511202856897,3.91140641944175,0.00691787561021613,2.86436162970193,0.00981212432638995
"YLR384C",4.52214098255035,0.0253932718029716,3.18649140242175,0.0204467942269376,2.41491690022528,0.0228714312616229
"YLR387C",6.41394155678446,7.54066839594226e-05,4.15715535910618,0.00148259668878637,3.77169297317904,0.000107430586764592
"YLR401C",-5.39993043717916,0.0111609297862301,-4.69692956258779,0.00194945234433957,-13.4331900634109,2.2583007653739e-36
"YLR439W",6.2656898012928,0.00397820480671118,4.40638364634674,0.00563445474466208,5.0169674548864,2.82560608595181e-05
"YML008C",3.16916034706414,0.0481444576357063,2.35387180492577,0.0258253811029539,2.66443038814019,0.000965671754954799
